Regio's,Onderwerp,2012,2016,2020,2024
Doorn,Bevolking aan het einde van de periode,,,,
Dordrecht,Bevolking aan het einde van de periode,118466,118731,119115,122847
Drechterland,Bevolking aan het einde van de periode,19298,19384,19838,20485
Driebergen-Rijsenburg,Bevolking aan het einde van de periode,,,,
Drimmelen,Bevolking aan het einde van de periode,26737,26869,27325,28294
Dronten,Bevolking aan het einde van de periode,40679,40746,42011,44883
Druten,Bevolking aan het einde van de periode,18203,18563,18991,19748
Duiven,Bevolking aan het einde van de periode,25554,25398,25066,24937
Echt,Bevolking aan het einde van de periode,,,,
Echt-Susteren,Bevolking aan het einde van de periode,32072,31815,31751,32273
Edam-Volendam,Bevolking aan het einde van de periode,28754,35800,36268,37145
Ede,Bevolking aan het einde van de periode,109823,113421,118530,124262
Eemnes,Bevolking aan het einde van de periode,8795,8999,9362,9927
Eemsdelta,Bevolking aan het einde van de periode,,,,44813
Eemsmond,Bevolking aan het einde van de periode,16083,15656,,
Eersel,Bevolking aan het einde van de periode,18196,18554,19528,20389
Eibergen,Bevolking aan het einde van de periode,,,,
Eijsden,Bevolking aan het einde van de periode,,,,
Eijsden-Margraten,Bevolking aan het einde van de periode,25049,25297,25900,26180
Eindhoven,Bevolking aan het einde van de periode,218433,226868,235691,249054
Elburg,Bevolking aan het einde van de periode,22510,23026,23429,23903
Emmen,Bevolking aan het einde van de periode,108392,107490,107024,109698
Enkhuizen,Bevolking aan het einde van de periode,18315,18479,18637,18843
Enschede,Bevolking aan het einde van de periode,158627,158140,159732,162337
Epe,Bevolking aan het einde van de periode,32385,32537,33198,33469
Ermelo,Bevolking aan het einde van de periode,26120,26590,27016,28127
Etten-Leur,Bevolking aan het einde van de periode,42274,43027,43869,45475
Ferwerderadiel,Bevolking aan het einde van de periode,8856,8735,,
Franekeradeel,Bevolking aan het einde van de periode,20476,20215,,
De Friese Meren,Bevolking aan het einde van de periode,,,,
De Fryske Marren,Bevolking aan het einde van de periode,,51585,51778,52234
Gaasterlân-Sleat,Bevolking aan het einde van de periode,10196,,,
Geertruidenberg,Bevolking aan het einde van de periode,21513,21504,21770,21948
Geldermalsen,Bevolking aan het einde van de periode,26240,26587,,
Geldrop,Bevolking aan het einde van de periode,,,,
Geldrop-Mierlo,Bevolking aan het einde van de periode,38768,39078,40066,40765
Gemert-Bakel,Bevolking aan het einde van de periode,29101,30024,30760,31534
Gendringen,Bevolking aan het einde van de periode,,,,
Gennep,Bevolking aan het einde van de periode,17319,17129,17035,17783
Giessenlanden,Bevolking aan het einde van de periode,14466,14596,,
Gilze en Rijen,Bevolking aan het einde van de periode,25858,26220,26723,28611
Goedereede,Bevolking aan het einde van de periode,11329,,,
Goeree-Overflakkee,Bevolking aan het einde van de periode,,48653,50589,52208
Goes,Bevolking aan het einde van de periode,36971,37274,38594,40125
Goirle,Bevolking aan het einde van de periode,22933,23317,23952,24461
Gooise Meren,Bevolking aan het einde van de periode,,56935,58524,61015
Gorinchem,Bevolking aan het einde van de periode,35128,35755,37410,38852
Gorssel,Bevolking aan het einde van de periode,,,,
Gouda,Bevolking aan het einde van de periode,70904,71752,73681,76536
Graafstroom,Bevolking aan het einde van de periode,9894,,,
Graft-De Rijp,Bevolking aan het einde van de periode,6429,,,
Grave,Bevolking aan het einde van de periode,12731,12370,12486,
s-Gravendeel,Bevolking aan het einde van de periode,,,,
s-Gravenhage (gemeente),Bevolking aan het einde van de periode,505856,524882,548320,568419
s-Gravenzande,Bevolking aan het einde van de periode,,,,
Groenlo,Bevolking aan het einde van de periode,,,,
Groesbeek,Bevolking aan het einde van de periode,19009,,,
Groningen (gemeente),Bevolking aan het einde van de periode,195418,201603,233273,244807
Grootegast,Bevolking aan het einde van de periode,12222,12166,,
Gulpen-Wittem,Bevolking aan het einde van de periode,14444,14337,14206,14016
Haaksbergen,Bevolking aan het einde van de periode,24322,24272,24229,24223
Haaren,Bevolking aan het einde van de periode,13572,13912,14318,
Haarlem,Bevolking aan het einde van de periode,153093,159229,162543,168655
Haarlemmerliede en Spaarnwoude,Bevolking aan het einde van de periode,5526,5665,,
Haarlemmermeer,Bevolking aan het einde van de periode,144153,146003,157789,165220
Haelen,Bevolking aan het einde van de periode,,,,
Halderberge,Bevolking aan het einde van de periode,29231,29579,30430,31351
Hardenberg,Bevolking aan het einde van de periode,59585,60211,61357,63423
Harderwijk,Bevolking aan het einde van de periode,45650,46352,48726,50070
Hardinxveld-Giessendam,Bevolking aan het einde van de periode,17722,17872,18413,19126
Haren,Bevolking aan het einde van de periode,18642,19570,,
Harenkarspel,Bevolking aan het einde van de periode,16122,,,
Harlingen,Bevolking aan het einde van de periode,15854,15860,15807,16210
Hattem,Bevolking aan het einde van de periode,11769,12040,12228,12744
Heel,Bevolking aan het einde van de periode,,,,
Heemskerk,Bevolking aan het einde van de periode,39117,39171,39191,39387
Heemstede,Bevolking aan het einde van de periode,26317,26936,27545,27639
Heerde,Bevolking aan het einde van de periode,18399,18561,18776,19305
Heerenveen,Bevolking aan het einde van de periode,43323,50203,50650,51859
Heerhugowaard,Bevolking aan het einde van de periode,52893,54950,58387,
Heerjansdam,Bevolking aan het einde van de periode,,,,
Heerlen,Bevolking aan het einde van de periode,88747,87189,86936,87514
Heeze-Leende,Bevolking aan het einde van de periode,15405,15714,16243,17079
Heiloo,Bevolking aan het einde van de periode,22594,22857,24144,24342
Helden,Bevolking aan het einde van de periode,,,,
Den Helder,Bevolking aan het einde van de periode,56947,56020,56582,56655
Hellendoorn,Bevolking aan het einde van de periode,35743,35772,35932,36211
Hellevoetsluis,Bevolking aan het einde van de periode,39086,38722,40312,
Helmond,Bevolking aan het einde van de periode,89023,90602,92627,96540
Hendrik-Ido-Ambacht,Bevolking aan het einde van de periode,28641,29731,31258,32852
Hengelo (Gld.),Bevolking aan het einde van de periode,,,,
Hengelo (O.),Bevolking aan het einde van de periode,80952,80802,81049,83644
s-Hertogenbosch,Bevolking aan het einde van de periode,142817,152411,155490,161557
Heumen,Bevolking aan het einde van de periode,16455,16475,16569,16866
Heusden,Bevolking aan het einde van de periode,43244,43516,45005,46345
Heythuysen,Bevolking aan het einde van de periode,,,,
Hillegom,Bevolking aan het einde van de periode,20868,21316,22197,22788
Hilvarenbeek,Bevolking aan het einde van de periode,15086,15283,15698,16147
Hilversum,Bevolking aan het einde van de periode,86017,88888,91235,94351
Hoeksche Waard,Bevolking aan het einde van de periode,,,88047,90768
Hof van Twente,Bevolking aan het einde van de periode,35215,35011,35040,35669
Het Hogeland,Bevolking aan het einde van de periode,,,47834,48190
Hollands Kroon,Bevolking aan het einde van de periode,47643,47600,48583,49984
Hontenisse,Bevolking aan het einde van de periode,,,,
Hoogeveen,Bevolking aan het einde van de periode,54874,55311,55603,56917
Hoogezand-Sappemeer,Bevolking aan het einde van de periode,34523,34232,,
Hoorn,Bevolking aan het einde van de periode,71360,72493,73619,76050
Horst aan de Maas,Bevolking aan het einde van de periode,41810,42139,42487,44276
Houten,Bevolking aan het einde van de periode,48429,49300,50223,50943
Huizen,Bevolking aan het einde van de periode,41445,41382,41090,41197
Hulst,Bevolking aan het einde van de periode,27514,27395,27575,27385
Hummelo en Keppel,Bevolking aan het einde van de periode,,,,
Hunsel,Bevolking aan het einde van de periode,,,,
IJsselstein,Bevolking aan het einde van de periode,34254,34208,33819,33349
Jacobswoude,Bevolking aan het einde van de periode,,,,
Kaag en Braassem,Bevolking aan het einde van de periode,25715,26374,27541,29305
Kampen,Bevolking aan het einde van de periode,50924,52511,54474,56541
Kapelle,Bevolking aan het einde van de periode,12495,12622,12882,13024
Katwijk,Bevolking aan het einde van de periode,62688,64532,65995,67085
Kerkrade,Bevolking aan het einde van de periode,47194,45937,45442,45485
Kessel,Bevolking aan het einde van de periode,,,,
Kesteren,Bevolking aan het einde van de periode,,,,
Koggenland,Bevolking aan het einde van de periode,22376,22522,22940,23826
Kollumerland en Nieuwkruisland,Bevolking aan het einde van de periode,12829,12872,,
Korendijk,Bevolking aan het einde van de periode,10774,10959,,
Krimpen aan den IJssel,Bevolking aan het einde van de periode,28855,29123,29410,29782
Krimpenerwaard,Bevolking aan het einde van de periode,,55204,56622,57800
Laarbeek,Bevolking aan het einde van de periode,21767,21942,22805,23324
Land van Cuijk,Bevolking aan het einde van de periode,,,,92774
Landerd,Bevolking aan het einde van de periode,15223,15332,15817,
Landgraaf,Bevolking aan het einde van de periode,37911,37458,37262,36850
Landsmeer,Bevolking aan het einde van de periode,10454,11275,11565,11748
Langedijk,Bevolking aan het einde van de periode,26899,27608,28335,
Lansingerland,Bevolking aan het einde van de periode,56506,60105,63363,66093
Laren (NH.),Bevolking aan het einde van de periode,10889,11088,11398,11474
Leek,Bevolking aan het einde van de periode,19611,19643,,
Leerdam,Bevolking aan het einde van de periode,20718,20905,,
Leersum,Bevolking aan het einde van de periode,,,,
Leeuwarden,Bevolking aan het einde van de periode,95949,108667,124481,129970
Leeuwarderadeel,Bevolking aan het einde van de periode,10314,10108,,
Leiden,Bevolking aan het einde van de periode,119800,123661,124093,130613
Leiderdorp,Bevolking aan het einde van de periode,26743,27128,27377,27774
Leidschendam-Voorburg,Bevolking aan het einde van de periode,72588,74604,76433,78309
Lelystad,Bevolking aan het einde van de periode,75778,76937,79811,84722
Lemsterland,Bevolking aan het einde van de periode,13566,,,
Leudal,Bevolking aan het einde van de periode,36426,35878,36045,36108
Leusden,Bevolking aan het einde van de periode,28969,29677,30544,31911
Lichtenvoorde,Bevolking aan het einde van de periode,,,,
Liemeer,Bevolking aan het einde van de periode,,,,
De Lier,Bevolking aan het einde van de periode,,,,
Liesveld,Bevolking aan het einde van de periode,9770,,,
Lingewaal,Bevolking aan het einde van de periode,11007,11158,,
Lingewaard,Bevolking aan het einde van de periode,45818,46182,46822,47655
Lisse,Bevolking aan het einde van de periode,22393,22717,22982,23583
Lith,Bevolking aan het einde van de periode,,,,
Littenseradiel,Bevolking aan het einde van de periode,10948,10746,,
Lochem,Bevolking aan het einde van de periode,33308,33545,33948,34314
Loenen,Bevolking aan het einde van de periode,,,,
Loon op Zand,Bevolking aan het einde van de periode,23083,23093,23504,24148
Lopik,Bevolking aan het einde van de periode,13992,14208,14456,14805
Loppersum,Bevolking aan het einde van de periode,10292,9914,9495,
Losser,Bevolking aan het einde van de periode,22554,22482,22888,23467
Maarn,Bevolking aan het einde van de periode,,,,
Maarssen,Bevolking aan het einde van de periode,,,,
Maasbracht,Bevolking aan het einde van de periode,,,,
Maasbree,Bevolking aan het einde van de periode,,,,
Maasdonk,Bevolking aan het einde van de periode,11220,,,
Maasdriel,Bevolking aan het einde van de periode,24092,24250,25452,26288
Maasgouw,Bevolking aan het einde van de periode,24017,23774,23947,24501
Maashorst,Bevolking aan het einde van de periode,,,,59668
Maasland,Bevolking aan het einde van de periode,,,,
Maassluis,Bevolking aan het einde van de periode,31985,32450,33567,36437
Maastricht,Bevolking aan het einde van de periode,121819,122753,120227,125666
Margraten,Bevolking aan het einde van de periode,,,,
De Marne,Bevolking aan het einde van de periode,10336,10088,,
Marum,Bevolking aan het einde van de periode,10382,10388,,
Medemblik,Bevolking aan het einde van de periode,43248,44058,45165,45943
Meerlo-Wanssum,Bevolking aan het einde van de periode,,,,
Meerssen,Bevolking aan het einde van de periode,19362,19072,18661,18459
Meierijstad,Bevolking aan het einde van de periode,,,81647,84696
Meijel,Bevolking aan het einde van de periode,,,,
Menaldumadeel,Bevolking aan het einde van de periode,,,,
Menameradiel,Bevolking aan het einde van de periode,13727,13454,,
Menterwolde,Bevolking aan het einde van de periode,12370,12162,,
Meppel,Bevolking aan het einde van de periode,32726,33025,34386,36288
Middelburg (Z.),Bevolking aan het einde van de periode,47523,48019,48964,50167
Middelharnis,Bevolking aan het einde van de periode,18070,,,
Midden-Delfland,Bevolking aan het einde van de periode,18251,19034,19414,19422
Midden-Drenthe,Bevolking aan het einde van de periode,33422,33399,33381,34021
Midden-Groningen,Bevolking aan het einde van de periode,,,60726,61374
Mierlo,Bevolking aan het einde van de periode,,,,
Mill en Sint Hubert,Bevolking aan het einde van de periode,10906,10807,11004,
Millingen aan de Rijn,Bevolking aan het einde van de periode,5924,,,
Moerdijk,Bevolking aan het einde van de periode,36625,36944,37185,38274
Molenlanden,Bevolking aan het einde van de periode,,,44130,45373
Molenwaard,Bevolking aan het einde van de periode,,29212,,
Monster,Bevolking aan het einde van de periode,,,,
Montferland,Bevolking aan het einde van de periode,34834,35316,36031,36994
Montfoort,Bevolking aan het einde van de periode,13621,13866,13896,13779
Mook en Middelaar,Bevolking aan het einde van de periode,7827,7775,7909,8103
Moordrecht,Bevolking aan het einde van de periode,,,,
Muiden,Bevolking aan het einde van de periode,6393,,,
Naaldwijk,Bevolking aan het einde van de periode,,,,
Naarden,Bevolking aan het einde van de periode,17263,,,
Neder-Betuwe,Bevolking aan het einde van de periode,22593,23303,24648,25800
Nederlek,Bevolking aan het einde van de periode,14131,,,
Nederweert,Bevolking aan het einde van de periode,16785,16864,17171,17516
Neede,Bevolking aan het einde van de periode,,,,
Neerijnen,Bevolking aan het einde van de periode,12022,12344,,
Niedorp,Bevolking aan het einde van de periode,,,,
Nieuwegein,Bevolking aan het einde van de periode,60895,61868,63866,66750
Nieuwerkerk aan den IJssel,Bevolking aan het einde van de periode,,,,
Nieuwkoop,Bevolking aan het einde van de periode,27082,27914,29151,29530
Nieuw-Lekkerland,Bevolking aan het einde van de periode,9526,,,
Nijefurd,Bevolking aan het einde van de periode,,,,
Nijkerk,Bevolking aan het einde van de periode,40355,41775,43600,45725
Nijmegen,Bevolking aan het einde van de periode,166382,173556,177359,188981
Nissewaard,Bevolking aan het einde van de periode,,85401,85440,88355
Noardeast-Fryslân,Bevolking aan het einde van de periode,,,45481,45875
Noord-Beveland,Bevolking aan het einde van de periode,7509,7382,7581,8045
Noordenveld,Bevolking aan het einde van de periode,31024,32981,31214,31772
Noorder-Koggenland,Bevolking aan het einde van de periode,,,,
Noordoostpolder,Bevolking aan het einde van de periode,46284,46544,47583,50803
Noordwijk,Bevolking aan het einde van de periode,25671,25867,44062,45946
Noordwijkerhout,Bevolking aan het einde van de periode,15740,16318,,
"Nuenen, Gerwen en Nederwetten",Bevolking aan het einde van de periode,22645,22866,23702,24291
Nunspeet,Bevolking aan het einde van de periode,26628,26892,28021,29390
Nuth,Bevolking aan het einde van de periode,15494,15305,,
Obdam,Bevolking aan het einde van de periode,,,,
Oegstgeest,Bevolking aan het einde van de periode,23153,23608,25064,26054
Oirschot,Bevolking aan het einde van de periode,17926,18499,18842,19546
Oisterwijk,Bevolking aan het einde van de periode,25770,25936,26549,33120
Oldambt,Bevolking aan het einde van de periode,38748,38108,38277,39576
Oldebroek,Bevolking aan het einde van de periode,22774,23256,23760,24426
Oldenzaal,Bevolking aan het einde van de periode,32200,32006,31701,32021
Olst,Bevolking aan het einde van de periode,,,,
Olst-Wijhe,Bevolking aan het einde van de periode,17751,17957,18361,19001
Ommen,Bevolking aan het einde van de periode,17314,17531,18295,19249
Onderbanken,Bevolking aan het einde van de periode,7905,7865,,
Oost Gelre,Bevolking aan het einde van de periode,29873,29634,29574,30048
Oostburg,Bevolking aan het einde van de periode,,,,
Oosterhout,Bevolking aan het einde van de periode,53686,54604,56206,58381
Oostflakkee,Bevolking aan het einde van de periode,10334,,,
Ooststellingwerf,Bevolking aan het einde van de periode,25836,25540,25464,25924
Oostzaan,Bevolking aan het einde van de periode,9141,9652,9689,9727
Opmeer,Bevolking aan het einde van de periode,11379,11420,12009,12468
Opsterland,Bevolking aan het einde van de periode,29896,29718,29812,30007
Oss,Bevolking aan het einde van de periode,84861,90376,92526,95233
Oud-Beijerland,Bevolking aan het einde van de periode,23441,24015,,
Oude IJsselstreek,Bevolking aan het einde van de periode,39779,39568,39346,39502
Ouder-Amstel,Bevolking aan het einde van de periode,13249,13419,14125,14526
Ouderkerk,Bevolking aan het einde van de periode,8147,,,
Oudewater,Bevolking aan het einde van de periode,9872,10187,10138,10350
Overbetuwe,Bevolking aan het einde van de periode,46531,47394,48214,48943
Papendrecht,Bevolking aan het einde van de periode,32082,32292,32171,32300
Peel en Maas,Bevolking aan het einde van de periode,43302,43347,43660,45899
Pekela,Bevolking aan het einde van de periode,12804,12517,12176,12465
Pijnacker-Nootdorp,Bevolking aan het einde van de periode,50454,52656,55674,58120
Purmerend,Bevolking aan het einde van de periode,79482,79928,81683,95921
Putten,Bevolking aan het einde van de periode,23971,24428,24365,24953
Raalte,Bevolking aan het einde van de periode,36486,36907,37911,38616
Ravenstein,Bevolking aan het einde van de periode,,,,
Reeuwijk,Bevolking aan het einde van de periode,,,,
Reiderland,Bevolking aan het einde van de periode,,,,
Reimerswaal,Bevolking aan het einde van de periode,21859,22356,22896,23334
Renkum,Bevolking aan het einde van de periode,31565,31391,31417,31498
Renswoude,Bevolking aan het einde van de periode,4893,5101,5556,5781
Reusel-De Mierden,Bevolking aan het einde van de periode,12670,12908,13127,13653
Rheden,Bevolking aan het einde van de periode,43679,43645,43525,43785
Rhenen,Bevolking aan het einde van de periode,19047,19597,20203,20399
Ridderkerk,Bevolking aan het einde van de periode,45330,45408,46671,48011
Rijnsburg,Bevolking aan het einde van de periode,,,,
Rijnwaarden,Bevolking aan het einde van de periode,10968,10852,,
Rijnwoude,Bevolking aan het einde van de periode,18577,,,
Rijssen,Bevolking aan het einde van de periode,,,,
Rijssen-Holten,Bevolking aan het einde van de periode,37608,37983,38204,38830
Rijswijk (ZH.),Bevolking aan het einde van de periode,47372,51027,55220,60710
Roerdalen,Bevolking aan het einde van de periode,20996,20700,20580,20830
Roermond,Bevolking aan het einde van de periode,56690,57390,58763,61227
Roggel en Neer,Bevolking aan het einde van de periode,,,,
De Ronde Venen,Bevolking aan het einde van de periode,42846,42763,44720,45924
Roosendaal,Bevolking aan het einde van de periode,77155,77163,77200,77722
Rotterdam,Bevolking aan het einde van de periode,616294,634660,651631,672330
Rozenburg,Bevolking aan het einde van de periode,,,,
Rozendaal,Bevolking aan het einde van de periode,1501,1498,1726,1836
Rucphen,Bevolking aan het einde van de periode,22268,22345,23080,23992
Ruurlo,Bevolking aan het einde van de periode,,,,
Sas van Gent,Bevolking aan het einde van de periode,,,,
Sassenheim,Bevolking aan het einde van de periode,,,,
Schagen,Bevolking aan het einde van de periode,18566,46193,46532,48402
Scheemda,Bevolking aan het einde van de periode,,,,
Schermer,Bevolking aan het einde van de periode,5501,,,
Scherpenzeel,Bevolking aan het einde van de periode,9403,9704,10128,10541
Schiedam,Bevolking aan het einde van de periode,76216,77838,79279,82559
Schiermonnikoog,Bevolking aan het einde van de periode,960,941,931,968
Schijndel,Bevolking aan het einde van de periode,23262,23722,,
Schinnen,Bevolking aan het einde van de periode,12950,12954,,
Schipluiden,Bevolking aan het einde van de periode,,,,
Schoonhoven,Bevolking aan het einde van de periode,11864,,,
Schouwen-Duiveland,Bevolking aan het einde van de periode,34040,33765,34065,34424
Sevenum,Bevolking aan het einde van de periode,,,,
Simpelveld,Bevolking aan het einde van de periode,10920,10571,10477,10272
Sint Anthonis,Bevolking aan het einde van de periode,11760,11594,11691,
Sint-Michielsgestel,Bevolking aan het einde van de periode,28040,28584,29498,30169
Sint-Oedenrode,Bevolking aan het einde van de periode,17921,17892,,
Sittard-Geleen,Bevolking aan het einde van de periode,94024,93319,91743,92487
Skarsterlân,Bevolking aan het einde van de periode,27419,,,
Sliedrecht,Bevolking aan het einde van de periode,24389,25012,25597,26601
Slochteren,Bevolking aan het einde van de periode,15622,15770,,
Sluis,Bevolking aan het einde van de periode,23886,23658,23166,23098
Sluis-Aardenburg,Bevolking aan het einde van de periode,,,,
Smallingerland,Bevolking aan het einde van de periode,55454,55695,56040,57095
Sneek,Bevolking aan het einde van de periode,,,,
Soest,Bevolking aan het einde van de periode,45508,45874,46906,48001
Someren,Bevolking aan het einde van de periode,18628,19036,19428,20214
Son en Breugel,Bevolking aan het einde van de periode,16138,16626,17552,18130
Spijkenisse,Bevolking aan het einde van de periode,72375,,,
Stadskanaal,Bevolking aan het einde van de periode,32885,32252,31754,32045
Staphorst,Bevolking aan het einde van de periode,16275,16691,17261,17973
Stede Broec,Bevolking aan het einde van de periode,21430,21552,21743,22252
Steenbergen,Bevolking aan het einde van de periode,23400,23970,24310,24584
Steenderen,Bevolking aan het einde van de periode,,,,
Steenwijk,Bevolking aan het einde van de periode,,,,
Steenwijkerland,Bevolking aan het einde van de periode,43437,43448,44341,45706
Stein (L.),Bevolking aan het einde van de periode,25431,25059,24875,24652
Stichtse Vecht,Bevolking aan het einde van de periode,63491,64450,65108,66124
